序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),臭氧,懸浮微粒
1,臺北市,2015年11月,150,126,24,-,-,-
2,新北市,2015年11月,270,204,64,2,2,-
3,臺中市,2015年11月,150,60,88,2,2,-
4,臺南市,2015年11月,120,4,116,-,-,-
5,高雄市,2015年11月,240,4,227,9,9,-
6,基隆市,2015年11月,30,25,5,-,-,-
7,新竹市,2015年11月,30,18,11,1,1,-
8,嘉義市,2015年11月,30,1,29,-,-,-
9,宜蘭縣,2015年11月,60,60,-,-,-,-
10,桃園市,2015年11月,120,87,32,1,1,-
11,新竹縣,2015年11月,60,42,17,1,1,-
12,苗栗縣,2015年11月,60,25,35,-,-,-
13,彰化縣,2015年11月,60,18,42,-,-,-
14,南投縣,2015年11月,60,-,60,-,-,-
15,雲林縣,2015年11月,60,4,55,1,-,1
16,嘉義縣,2015年11月,60,1,59,-,-,-
17,屏東縣,2015年11月,90,33,54,3,3,-
18,臺東縣,2015年11月,30,30,-,-,-,-
19,花蓮縣,2015年11月,30,29,1,-,-,-
20,澎湖縣,2015年11月,30,29,1,-,-,-
21,金門縣,2015年11月,30,8,22,-,-,-
22,連江縣,2015年11月,30,23,7,-,-,-
