序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),臭氧,懸浮微粒
1,臺北市,2014年11月,150,105,45,-,-,-
2,新北市,2014年11月,270,188,79,3,3,-
3,臺中市,2014年11月,150,42,108,-,-,-
4,臺南市,2014年11月,120,6,114,-,-,-
5,高雄市,2014年11月,240,-,229,11,9,2
6,基隆市,2014年11月,29,24,5,-,-,-
7,新竹市,2014年11月,30,17,13,-,-,-
8,嘉義市,2014年11月,30,2,28,-,-,-
9,宜蘭縣,2014年11月,60,53,7,-,-,-
10,桃園市,2014年11月,120,67,53,-,-,-
11,新竹縣,2014年11月,60,34,26,-,-,-
12,苗栗縣,2014年11月,60,36,24,-,-,-
13,彰化縣,2014年11月,60,16,44,-,-,-
14,南投縣,2014年11月,60,4,56,-,-,-
15,雲林縣,2014年11月,60,3,56,1,1,-
16,嘉義縣,2014年11月,60,1,59,-,-,-
17,屏東縣,2014年11月,90,27,59,4,4,-
18,臺東縣,2014年11月,30,30,-,-,-,-
19,花蓮縣,2014年11月,30,28,2,-,-,-
20,澎湖縣,2014年11月,30,22,8,-,-,-
21,金門縣,2014年11月,30,1,29,-,-,-
22,連江縣,2014年11月,30,11,19,-,-,-
