序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),臭氧,懸浮微粒
1,臺北市,2013年11月,150,79,69,2,-,2
2,新北市,2013年11月,270,149,120,1,-,1
3,臺中市,2013年11月,150,46,102,2,2,-
4,臺南市,2013年11月,120,-,105,15,-,15
5,高雄市,2013年11月,240,7,217,16,6,10
6,基隆市,2013年11月,30,19,11,-,-,-
7,新竹市,2013年11月,30,13,17,-,-,-
8,嘉義市,2013年11月,30,-,27,3,-,3
9,宜蘭縣,2013年11月,60,43,17,-,-,-
10,桃園市,2013年11月,120,51,67,2,-,2
11,新竹縣,2013年11月,60,29,31,-,-,-
12,苗栗縣,2013年11月,60,28,32,-,-,-
13,彰化縣,2013年11月,60,14,45,1,-,1
14,南投縣,2013年11月,60,2,58,-,-,-
15,雲林縣,2013年11月,60,5,50,5,-,5
16,嘉義縣,2013年11月,60,1,49,10,-,10
17,屏東縣,2013年11月,90,28,53,9,5,4
18,臺東縣,2013年11月,30,24,6,-,-,-
19,花蓮縣,2013年11月,30,24,6,-,-,-
20,澎湖縣,2013年11月,30,7,23,-,-,-
21,金門縣,2013年11月,30,4,25,1,-,1
22,連江縣,2013年11月,30,7,22,1,-,1
