序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),臭氧,懸浮微粒
1,臺北市,2014年10月,155,73,81,1,1,-
2,新北市,2014年10月,279,133,141,5,4,1
3,臺中市,2014年10月,155,19,136,-,-,-
4,臺南市,2014年10月,124,-,120,4,4,-
5,高雄市,2014年10月,248,1,218,29,29,-
6,基隆市,2014年10月,31,18,13,-,-,-
7,新竹市,2014年10月,31,13,18,-,-,-
8,嘉義市,2014年10月,31,-,30,1,1,-
9,宜蘭縣,2014年10月,62,38,24,-,-,-
10,桃園市,2014年10月,124,46,78,-,-,-
11,新竹縣,2014年10月,62,19,42,1,1,-
12,苗栗縣,2014年10月,62,18,44,-,-,-
13,彰化縣,2014年10月,62,2,60,-,-,-
14,南投縣,2014年10月,62,1,56,5,5,-
15,雲林縣,2014年10月,62,-,61,1,1,-
16,嘉義縣,2014年10月,62,-,60,2,2,-
17,屏東縣,2014年10月,93,16,61,16,16,-
18,臺東縣,2014年10月,31,18,13,-,-,-
19,花蓮縣,2014年10月,31,20,11,-,-,-
20,澎湖縣,2014年10月,31,8,23,-,-,-
21,金門縣,2014年10月,31,-,31,-,-,-
22,連江縣,2014年10月,31,3,27,1,1,-
