序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),臭氧
1,臺北市,2015年10月,155,121,33,1,1
2,新北市,2015年10月,278,194,82,2,2
3,臺中市,2015年10月,155,35,120,-,-
4,臺南市,2015年10月,123,13,110,-,-
5,高雄市,2015年10月,248,50,185,13,13
6,基隆市,2015年10月,31,20,11,-,-
7,新竹市,2015年10月,31,14,17,-,-
8,嘉義市,2015年10月,31,4,27,-,-
9,宜蘭縣,2015年10月,62,50,12,-,-
10,桃園市,2015年10月,124,75,49,-,-
11,新竹縣,2015年10月,62,32,30,-,-
12,苗栗縣,2015年10月,62,19,43,-,-
13,彰化縣,2015年10月,62,10,52,-,-
14,南投縣,2015年10月,62,2,60,-,-
15,雲林縣,2015年10月,62,9,53,-,-
16,嘉義縣,2015年10月,62,5,57,-,-
17,屏東縣,2015年10月,93,38,52,3,3
18,臺東縣,2015年10月,31,25,6,-,-
19,花蓮縣,2015年10月,31,26,5,-,-
20,澎湖縣,2015年10月,31,17,14,-,-
21,金門縣,2015年10月,31,8,23,-,-
22,連江縣,2015年10月,31,7,24,-,-
